title,company,location,salary_min,salary_max,description,created,category
DATA ANALYST,AaraTechnologies Inc,"Five Corners, Hudson County",76370.08,76370.08,"Data Analyst Healthcare (2 3 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a detail-oriented Data Analyst Healthcare (2 3 years experience) to support healthcare reporting, analytics, and data quality initiatives. This role is ideal for early-career professionals who enjoy working with healthcare data, building reports, and delivering insights that support business and operational decision-making. Key Responsibilities Collect, clean, and analyze healthcare data …",2026-06-08T12:38:54Z,IT Jobs
DATA ANALYST,AaraTechnologies Inc,"Texas City, Galveston County",73409.72,73409.72,"Data Analyst Healthcare (2 3 Years Experience) Company: AaraTech Inc About the Role AaraTech Inc is seeking a detail-oriented Data Analyst Healthcare (2 3 years experience) to support healthcare reporting, analytics, and data quality initiatives. This role is ideal for early-career professionals who enjoy working with healthcare data, building reports, and delivering insights that support business and operational decision-making. Key Responsibilities Collect, clean, and analyze healthcare data …",2026-06-04T11:54:44Z,IT Jobs
Data Analyst,New York Technology Partners,"New Brunswick, Middlesex County",80305.88,80305.88,"Title: Data Analyst Location: New Brunswick, NJ (Hybrid) Position: Contract JOB DESCRIPTION Data Analyst is a detail-oriented technical analyst position that reports to the Operations Manager. The Data Analyst will be a team-player, responsible for compiling, analyzing, tracking program data, and reporting program information for all Programs. Other responsibilities will include developing and analyzing reports for energy efficiency measures and program performance, leading development and revi…",2026-06-04T18:17:18Z,Engineering Jobs
Data Analyst,Sun-IT Solutions,"Charlotte, Mecklenburg County",87985.38,87985.38,"Job Title: Data Analyst Location: Charlotte, NC (Onsite/Hybrid as per client requirement) Experience Required: 12 Years Employment Type: W2 Only Visa Status: U.S. Citizens, s, GC-EAD, TN, -EAD, USC-EAD. . No C2C. Job Description: We are seeking an experienced Data Analyst with 12 years of professional experience in data analysis, reporting, and business intelligence. The ideal candidate will have strong analytical skills, the ability to translate business requirements into data-driven insights,…",2026-06-04T20:06:57Z,IT Jobs
Data Analyst,Cynet Systems,"Grand Central, Manhattan",89795.88,89795.88,"We are looking for Data Analyst for our client in New York City, NY Job Title: Data Analyst Job Location: New York City, NY Job Type: Contract Job Overview: Pay Range: $55/hr - $60/hr Requirement/Must Have: 1 years of experience in Asset & Wealth Management domain knowledge. Strong understanding of Securities, Equities, and Fixed Income. Exposure to IBOR & ABOR concepts. Experience with portfolio accounting systems. Understanding of Aladdin data model and workflows. Experience with integration …",2026-06-10T17:00:31Z,IT Jobs
Data Analyst,Vaco by Highspring,"Pennsylvania, US",79662.85,79662.85,"NOT OPEN TO C2C, VISA SPONSORSHIP, or THIRD PARTIES MUST BE LOCATED IN PITTSBURGH, PA Job Title: Data Analyst (Hybrid – Pittsburgh, PA) We are seeking a detail-oriented Data Analyst to join our team on a direct hire basis in a hybrid role just north of downtown Pittsburgh, PA. In this position, you will play a key role in collecting, analyzing, and interpreting data to support business decisions, improve reporting accuracy, and uncover trends that drive operational performance. Key Responsibili…",2026-05-13T13:24:02Z,IT Jobs
Data Analyst,Dexian DISYS,"Redmond, King County",110900.56,110900.56,"Data Analyst On site in Redmond WA Must have PLM tools experience Job Description for Data Analyst - PLM Project GENERAL SUMMARY Under the specific direction of a senior analyst, supervisor or manager; you will collect, process, map, and analyze data to support the loading of accurate data for Product Lifecycle Management (PLM) system implementation. You will work closely with cross-functional teams to determine how data will be transformed from the current PLM system to the new PLM system and …",2026-05-20T14:13:06Z,IT Jobs
Data Analyst,Carlin Shayn Inc,"West End, Dauphin County",102226.04,102226.04,"Data Analyst Location: Harrisburg, PA (Remote ) Duration: One-Year Contract ( with strong possibility of extension) Work Arrangement: Remote with occasional onsite meetings in Harrisburg, PA Interview Process: First-round interviews will be conducted via Microsoft Teams Start Date: ASAP, pending successful completion of PATCH clearance Position Overview We are seeking an experienced Data Analyst to support enterprise analytics initiatives by partnering with internal business stakeholders to dev…",2026-06-09T12:42:03Z,IT Jobs
Data Analyst,System One,"Vienna, Fairfax County",94551.66,94551.66,"Job Title: Data Analyst Location: Hybrid - Vienna, VA Pay Rate: Open to Both C2C and W2 options Position Type: Multiyear Contract Basic Description The Data Analyst supports the Lending Data Governance function by delivering advanced analytics, business intelligence, and data quality capabilities that enable data-driven decision-making and operational improvements. This role operates within Lending Strategy’s Data Governance Team and is responsible for performing complex analytical and statisti…",2026-06-08T22:43:16Z,IT Jobs
Data Analyst,MethodHub,"Raleigh, Wake County",113224.18,113224.18,"If shortlisted, would you be able to attend an in-person interview within the next 7 10 days. Data Analyst Location: Raleigh NC (Hybrid) Duration: 12 months Data Analyst will: Ingest, clean, and validate manufacturer price increase notices, new drug submissions, and other required data ensuring accuracy and completeness. Maintain and version the metric dictionary and annual report metric definitions. Develop, maintain, and refresh Power BI dashboards for both the public transparency portal and …",2026-06-03T15:55:23Z,IT Jobs
Data Analyst,InfiCare Technologies,"Richardson, Dallas",110470.95,110470.95,"Role : Data Analyst Location : Richardson, TX (Hybrid) Key Skills: Must be proficient in using AI Experience with commercial real estate data Able to present and communicate ideas to C-suite executives Software skills: Proficiency with Microsoft Office tools (Word, Excel, Outlook, PowerPoint) and familiarity with modern analytics and data warehousing platforms (e.g., Snowflake, Databricks) Job Description: As a Data Analyst on the Advisory Data & Research team, you’ll own analytical workstreams…",2026-06-10T18:50:14Z,IT Jobs
Data Analyst,Robert Half,"Nashville, Davidson County",66959.11,66959.11,"Description We are looking for a meticulous Data Analyst to support a Long-term Contract assignment based in Old Hickory, Tennessee. In this role, you will help improve the quality, accuracy, and usability of finance-related data while contributing to a collaborative, remote project environment. This opportunity is well suited for someone who enjoys working with complex datasets, solving data integrity issues, and partnering with business and technical teams to deliver reliable reporting outcom…",2026-06-06T22:33:59Z,IT Jobs
Data Analyst,Robert Half,"Flatbush, Brooklyn",80536.35,80536.35,"Description We are looking for a Data Analyst to support reporting, visualization, and data-driven decision-making for a long-term contract opportunity in Brooklyn, New York. This position is ideal for someone who can translate complex information into clear insights while partnering with both business stakeholders and technical teams. The role will focus on analytics, reporting development, and data interpretation within an energy and natural resources environment, with opportunities to contri…",2026-06-09T22:44:52Z,IT Jobs
Data Analyst,Mindlance,US,52666.49,52666.49,"Job Title: Data Analyst Job Location: San Diego, CA/Remote Duration: 6 Months Job Description: Responsibilities: Partner with business owners and technical peers to in-take requests, develop analytical proposals/solutions, and document processes Maintain, build, and optimize data warehouse, automatized data flow, and analytics as-a-service environment Have Business Intelligence experience in data collection, aggregation, analysis, visualization, productionization, data enrichment and storytelli…",2026-06-08T14:26:29Z,IT Jobs
Data Analyst,Maagsoft Inc.,"Grand Central, Manhattan",102850.61,102850.61,"Role : Data Analyst Location : NewYork Client : State of NY Requested Qualifications: 36 months of experience cleaning and organizing data, using Excel 36 months of experience working with large datasets using MS Excel or similar tools 36 months of experience with sourcing publicly available data 24 months of experience using statistical packages, like R, Stata, pandas to analyze data 36 months experience with MS Microsoft Office Suite and Adobe software 24 months of experience tracking and/or …",2026-06-05T18:14:17Z,IT Jobs
Data Analyst,PTR Global,"Reston, Fairfax County",165474.6,165474.6,"Position: Data Analyst / Developer Location: Reston, Virginia Duration: Contract Job ID: 177444 Job Overview: We are seeking a skilled and experienced Data Analyst/Developer to join our team. The ideal candidate will be responsible for troubleshooting data variances and failures, identifying root causes of issues, and providing effective solutions. This role requires a strong understanding of data lineage, source-to-target mapping, and the ability to work collaboratively with cross-functional t…",2026-06-05T22:13:08Z,IT Jobs
Data Analyst,Apex Systems,"Northlake, DeKalb County",70193.49,70193.49,"Job: 3037306 Job Description: Job Tittle: Data Analyst Location: Atlanta, Georgia (Onsite) Role Overview We are seeking a Data Analyst to join our team. The successful candidate will be responsible for acquiring data from various sources, maintaining data systems, and performing analysis to identify trends and patterns. This role involves filtering and cleaning data, interpreting results using statistical techniques, and providing ongoing reports. Key Responsibilities Acquire data from primary …",2026-06-10T08:36:46Z,IT Jobs
Data Analyst,Synechron,"Bloomfield, Allegheny County",121353.71,121353.71,"About the job We are At Synechron, we believe in the power of digital to transform businesses for the better. Our global consulting firm combines creativity and innovative technology to deliver industry-leading digital solutions. Synechron’s progressive technologies and optimization strategies span end-to-end Artificial Intelligence, Consulting, Digital, Cloud & DevOps, Data, and Software Engineering, servicing an array of noteworthy financial services and technology firms. Through research and…",2026-05-20T14:14:36Z,IT Jobs
Data Analyst,GDH,"Northpoint, Pulaski County",116518.34,116518.34,"Role Summary This position involves developing and maintaining automated data systems within an Enterprise Data Warehouse (EDW) to support operational efficiency and data accuracy. The Data Analyst will design scalable, automated workflows that ensure timely data delivery, proactive anomaly detection, and streamlined reporting processes. Collaboration with cross-functional teams is essential to translate operational needs into technical solutions that enhance data integrity and business insight…",2026-05-31T15:33:50Z,IT Jobs
Data Analyst,Apex Systems,"Center Line, Macomb County",91383.75,91383.75,"Job: 3029487 Job Description: Data Analyst - Manufacturing & Applied Machine Learning Location: Warren, MI (Hybrid) Employment Type: Contract Role Overview A client in the automotive manufacturing space is seeking a Machine Learning Data Analyst. This role requires a foundation in statistics and numerical data analysis, with exposure to machine learning. The position supports data-driven decision-making for manufacturing and engineering applications, with an emphasis on structured, numerical da…",2026-04-17T07:28:15Z,IT Jobs
Data Analyst,Apex Systems,"Northlake, DeKalb County",68519.16,68519.16,"Job: 3030376 Job Description: Data Analyst Location: Charlotte, NC or Atlanta, Georgia (Onsite 5 days a week) Employment Type: Contract to hire Role Overview The Data Analyst is responsible for gathering, analyzing, validating, and maintaining data used across business applications, reporting environments, and the enterprise data warehouse. This role ensures data accuracy, completeness, and accessibility while partnering with business analysts, audit teams, and development groups to resolve dat…",2026-04-13T19:08:51Z,IT Jobs
Data Analyst,System One,US,111568.77,111568.77,"Data Analyst (Data Integration Oracle HCM to Azure) 100% remote Pay Rate: Open to Both C2C and W2 options Position Type: Multiyear Contract We are seeking an experienced contractor to support advanced data development and modernization efforts within our HR analytics environment. This role will focus on developing complex queries and database objects across SQL Server and Oracle platforms, with a strong emphasis on sourcing, transforming, and validating Oracle HCM data to support enterprise rep…",2026-06-10T10:49:48Z,IT Jobs
Data Analyst,Mindlance,"Minerva Park, Franklin County",73027.07,73027.07,"Job Summary The Identity and Access Management (IAM) Operations team is seeking a Data Analyst to join the ISAT Data & Automation team . This role will focus on analyzing identity data, delivering actionable insights, and building scalable automation and reporting solutions using low-code/no-code platforms. The ideal candidate is highly analytical, technically curious, and experienced in working with large datasets, developing dashboards, and automating workflows . This individual will operate …",2026-06-05T14:16:10Z,IT Jobs
Data Analyst,Apex Systems,"Pleasanton, Alameda County",88998.66,88998.66,"Job: 3034483 Job Description: Apex Systems is hiring a Data Analyst for a large healthcare client. Location: Fully remote anywhere in the Unted States. Employment Type: 6-month contract with possibility to extend or convert. Role Overview We are seeking a highly analytical Data Analyst to support a large enterprise healthcare organization with analytics initiatives spanning Commercial, Medicare, and Medicaid populations. This role will focus on generating actionable datasets, supporting ad hoc …",2026-05-20T14:11:23Z,IT Jobs
Data Analyst,Robert Half,"Tallahassee, Leon County",73165.45,73165.45,"Description We are seeking a detail-oriented Data Analyst with at least 1 year of experience to support data-driven decision-making. This role is ideal for someone who enjoys working with data, identifying trends, and collaborating with business stakeholders to deliver actionable insights. Key Responsibilities Analyze, interpret, and validate data to identify trends, patterns, and key insights Write and execute SQL queries to extract, manipulate, and analyze data from relational databases Clean…",2026-05-28T22:52:36Z,IT Jobs
Data Analyst,Apex Systems,"Country Park Acres, Guilford County",66797.23,66797.23,"Job: 3033375 Job Description: Apex Systems is looking to hire an ONSITE Data Analyst for our client based out of Greensboro, NC. This assignment is anticipated to be a 12 month contract with strong potential for extension; however, Apex Systems cannot guarantee the length of this assignment. This will also have a first shift Monday-Friday schedule. Responsibilities: Partner with product owners, product managers, data engineers, and business stakeholders to understand data requirements and busin…",2026-05-06T05:53:48Z,IT Jobs
Data Analyst,Apex Systems,"Greenwood Village, Arapahoe County",62475.46,62475.46,"Job: 3034570 Job Description: Data Analyst Location: Greenwood Village, Colorado (Hybrid) Employment Type: Contract Role Overview This role supports a Quality of Services Team focused on improving internet service quality. The objective is to shift from a reactive to a proactive service model by leveraging data insights. The Data Analyst will be instrumental in this process by transforming raw data from multiple sources into clear, actionable visualizations for stakeholders and executives. Key …",2026-05-20T14:08:35Z,IT Jobs
Data Analyst,Robert Half,"Hampton, Rockingham County",94978.49,94978.49,"Description We are looking for a detail-focused Data Analyst to join a utilities and infrastructure organization in Hampton, New Hampshire. This Long-term Contract opportunity is ideal for someone who can support reporting, data quality, and integration-related activities while working closely with project and business teams. The position will contribute during system implementation and continue to play an important role in ongoing reporting and data operations after launch. Responsibilities: P…",2026-06-10T22:42:56Z,IT Jobs
Data Analyst,Robert Half,"Grand Central, Manhattan",70001.97,70001.97,"Description We are looking for a Data Analyst to support a non-profit organization through careful analysis, issue tracking, and data-driven decision-making. This Long-term Contract position is ideal for someone who can work across ticketing workflows, service desk activity, and business systems to improve visibility and operational efficiency. The role calls for someone who can translate data into practical insights while collaborating with technical and administrative stakeholders. Responsibi…",2026-06-09T22:44:52Z,IT Jobs
Data Analyst,Robert Half,"Gainesville, Alachua County",68214.15,68214.15,"Description We are looking for a Data Analyst to join a team in Florida on a contract basis with the potential for a permanent position. In this role, you will turn business needs into reliable reporting, data solutions, and actionable insights that support day-to-day operations and long-term decision-making. The position offers the opportunity to work across analytics, database management, integrations, and process improvement while partnering closely with both technical teams and business sta…",2026-06-10T22:45:40Z,IT Jobs
Data Analyst,Stefanini,"Country Park Acres, Guilford County",103478.3,103478.3,"Stefanini Group is hiring! Stefanini is looking for a Data Analyst in Greensboro, NC (Onsite) For quick apply, please reach out to Merwyne Guillermo Call: / Email: Work Location7900 National Service Road Greensboro, NC 27409 Description: Role Overview This role is to provide analysis and insight with Mack/Volvo dealer channel and Arrow truck sales. Specifically, dealer dashboard performance, management group ownership strategy and Arrow truck sales' retail performance. Key Responsibilities Buil…",2026-06-09T12:40:52Z,IT Jobs
Data Analyst,SPECTRAFORCE TECHNOLOGIES Inc.,"Pineridge, Lexington County",99390.72,99390.72,"Title: Data Analyst III Location; Columbia, SC (Onsite 3x per week) Duration: 12 months Duties: Day to day: There is a development and recurring or operational focus for the analyst. The development work is consultative, customer-facing, and requires understanding I/S business processes. Work involves facilitating meetings, gathering and documenting requirements, interacting with management and multiple teams to complete work, designing and developing a solution, and presenting outcomes to cust…",2026-06-09T12:42:05Z,IT Jobs
Data Analyst,Focus America Inc.,"San Diego, San Diego County",81575.34,81575.34,"Must Have Skills: ⦁ Bachelor’s degree in Data Analytics, Computer Science, Business, or a related field. ⦁ 5 years of experience in data analysis or BI roles. ⦁ Strong hands-on experience with: ⦁ Databricks (SQL, notebooks, Delta Lake) ⦁ SQL (advanced querying and data manipulation) ⦁ Experience with data visualization tools (Power BI, Tableau, or similar). ⦁ Solid understanding of data modeling concepts and metric development. ⦁ Proven ability to understand business processes and map them to d…",2026-06-03T15:51:10Z,IT Jobs
Data Analyst,"Pyramid Consulting, Inc.","Richardson, Dallas",87888.93,87888.93,"Immediate need for a talented Data Analyst. This is a 06 months contract opportunity with long-term potential and is location in Richardson, TX (Hybrid). Please review the job description below and contact me ASAP if you are interested. Job Diva ID : 26-17927 Pay Range: $40 - $45/hr . Employee benefits include, but are not limited to, health insurance (medical, dental, vision), 401(k) plan, and paid sick leave (depending on work location). Key Responsibilities: Own analytical workstreams end-to…",2026-06-09T20:43:22Z,IT Jobs
Data Analyst,Apex Systems,"Northlake, DeKalb County",71352.27,71352.27,"Job: 3035566 Job Description: Data Analyst Location: Atlanta, Georgia (Onsite) Employment Type: Contract Role Overview This role involves working directly with professionals across various facets of Global Operations to design, document, test, and support the construction of internal Data Visual solutions. The objective is to perform analysis of data and processes to measure quality and accuracy, and to create informative, presentation-ready visualizations for leadership using various technolog…",2026-05-29T07:08:23Z,IT Jobs
Data Analysts,Apex Systems,"Tampa Palms, Hillsborough County",64465.96,64465.96,"Job: 3037264 Job Description: Location: Tampa, FL (Remote) Role Overview We are seeking a detail-oriented and analytical Data Analyst to join our team. In this role, you will collect, interpret, and analyze large datasets to provide actionable insights that support business decisions. This position is for an account team that must collect data from multiple sources to prepare for a quarterly business review. Key Responsibilities Gather requirements and communicate effectively with stakeholders.…",2026-06-10T08:36:46Z,IT Jobs
Data Analyst,MetaPhase Consulting,"Mount Rainier, Prince George's County",60770.93,60770.93,"Description At MetaPhase, we believe Quirky is Cool and being authentic is the only way to be! We take the work we do very seriously and do a lot of important mission-focused work for our clients. We are individuals with different passions and strengths who take as much joy in the work we do as from those we work with. Today, we have a team that is invested in creating new solutions that lean forward, challenge the status quo, but also reflect our intimate knowledge of our customers' business. …",2026-05-21T18:05:26Z,IT Jobs
Data Analyst,Aditi Consulting,"Santa Ana, Orange County",96259.05,96259.05,"Payrate: $50.00 - $53.00/hr. Summary: The Sr. Data & Reporting Analyst is responsible for all points of data mining, extraction, manipulation, analysis, and reporting. Accountable for developing and reporting daily, weekly and monthly analysis of key performance indicators related to warehouse operational metrics. This position requires an extremely detailed, timely, consistent and accurate approach to reporting. Having strong written and verbal communication skills are critical to succeed in t…",2026-06-08T20:34:26Z,IT Jobs
Data Analyst,Robert Half,"West Lebanon, Grafton County",114457.92,114457.92,"Description We're looking for a SQL Developer to design, build, and optimize health data solutions that support business operations and reporting. This role focuses on writing efficient queries, maintaining data integrity, and improving database performance. Responsibilities Develop and maintain SQL queries, stored procedures, and database structures. Optimize performance and troubleshoot data issues. Partner with teams to translate business needs into data solutions and support ETL processes. …",2026-06-10T22:49:17Z,IT Jobs
Data Analyst,TriosysIT Inc.,"West End, Dauphin County",86503.56,86503.56,"This requisition will feature first round interviews via Teams. Need candidates local to the Harrisburg, PA Area. Please specify the physical residence in the candidate''s Summary of Qualifications under the details tab. In this role you will: • Engage with internal partners to understand business strategy, questions, and goals. Adhere to engagement process structure for business requests, translating requirements into an analytical project approach, and leading projects through completion. • A…",2026-06-09T17:39:00Z,IT Jobs
Data Analyst,Citadel Information Services Inc,"Charlotte, Mecklenburg County",122668.44,122668.44,Supports Data Loss Prevention and Data Security initiatives in mission to protect Client sensitive data. Responsibilities: Monitor alerts coming from data loss prevention technologies. Perform initial triage and escalation in accordance with internal processes. Draft playbooks/job aids for responsibilities. Partner with senior data loss prevention leaders to support incident validations. Provide feedback to technologists responsible for DLP policy tuning on efficacy of rules. Prepare DLP progra…,2026-05-20T14:09:41Z,IT Jobs
Data Analyst,"cyberThink, Inc.","Fort Sam Houston, Bexar County",86169.03,86169.03,"Job Description: Support the development and testing of Client systems and services Deliver advanced analytics and business intelligence for Payment Services operations. Design, implement, and maintain dashboards and data pipelines. Provide actionable insights through data mining and statistical analysis. Description: Build and maintain marketing performance dashboards (Power BI) that track campaign and channel KPIs, trends, and outcomes on a daily/weekly/monthly cadence. • Define KPI methodolo…",2026-05-15T19:51:49Z,IT Jobs
Data Analyst,Booz Allen Hamilton,"Mount Rainier, Prince George's County",104937.58,104937.58,"Job Number: R0241726 Data Analyst The Opportunity: As data analyst, you love diving into data and turning it into meaningful insights. With the abundance of structured and unstructured data, you understand the importance of transforming complex data sets into useful information to solve challenges. As a data analyst at Booz Allen, you can use your skills and experience to support a mission and use data for good. We need a data analyst like you to bring your knowledge to complex defense acquisit…",2026-06-08T18:36:48Z,Engineering Jobs
